workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
gemm,A40,6144,Ref,0,128,19.168768,24198.554111,1,0.000000
gemm,A40,8192,Ref,0,16,45.194752,24328.303298,1,0.000000
gemm,A40,8192,V1,1,16,574.576111,1913.604842,1,0.000000
gemm,A40,8192,V0,0,16,516.182037,2130.085025,1,0.000000
gemm,A40,8192,V3,2,16,587.943939,1870.096032,1,0.000000
gemm,A40,8192,V3,3,16,586.384399,1875.069713,1,0.000000
gemm,A40,8192,V3,4,16,584.701447,1880.466748,1,0.000000
gemm,A40,8192,Ref,0,32,45.194752,24328.303298,1,0.000000
gemm,A40,8192,V1,1,32,234.952705,4679.714694,1,0.000000
gemm,A40,8192,V0,0,32,521.080811,2110.059717,1,0.000000
gemm,A40,8192,V3,2,32,236.217857,4654.650754,1,0.000000
gemm,A40,8192,V3,3,32,242.086403,4541.814884,1,0.000000
gemm,A40,8192,V3,4,32,245.252609,4483.180143,1,0.000000
gemm,A40,8192,Ref,0,64,45.194752,24328.303298,1,0.000000
gemm,A40,8192,V1,1,64,119.126015,9229.819620,1,0.000000
gemm,A40,8192,V0,0,64,523.308044,2101.079163,1,0.000000
gemm,A40,8192,V3,2,64,171.869186,6397.374950,1,0.000000
gemm,A40,8192,V3,3,64,191.747581,5734.161648,1,0.000000
gemm,A40,8192,Ref,0,128,45.194752,24328.303298,1,0.000000
